
TIME TAKEN: 0.19729s
TIME TAKEN: 0.0032881666666666667min
http://wiki.python.org/moin/SimplePrograms

TOKENS:		LEXEME:
KEYWORD		def
IDENTIFIER	median
DELIMITER	(
IDENTIFIER	pool
DELIMITER	)
DELIMITER	:
NEWLINE		\n
INDENT		
STRING_LITERAL	'Hello'
IDENTIFIER	copy
DELIMITER	=
IDENTIFIER	sorted
DELIMITER	(
IDENTIFIER	pool
DELIMITER	)
NEWLINE		\n
IDENTIFIER	size
DELIMITER	=
IDENTIFIER	len
DELIMITER	(
IDENTIFIER	copy
DELIMITER	)
NEWLINE		\n
KEYWORD		if
IDENTIFIER	size
OPERATOR	%
INTEGER		2
DELIMITER	=
DELIMITER	=
INTEGER		1
DELIMITER	:
NEWLINE		\n
INDENT		
KEYWORD		return
IDENTIFIER	copy
DELIMITER	[
DELIMITER	(
IDENTIFIER	size
OPERATOR	-
INTEGER		1
DELIMITER	)
OPERATOR	/
INTEGER		2
DELIMITER	]
NEWLINE		\n
DEDENT		
KEYWORD		else
DELIMITER	:
INDENT		
KEYWORD		return
DELIMITER	(
IDENTIFIER	copy
DELIMITER	[
IDENTIFIER	size
OPERATOR	/
INTEGER		2
OPERATOR	-
INTEGER		1
DELIMITER	]
OPERATOR	+
IDENTIFIER	copy
DELIMITER	[
IDENTIFIER	size
OPERATOR	/
INTEGER		2
DELIMITER	]
DELIMITER	)
OPERATOR	/
NEWLINE		\n
DEDENT		
KEYWORD		if
IDENTIFIER	__name__
DELIMITER	=
DELIMITER	=
STRING_LITERAL	'__main__'
DELIMITER	:
NEWLINE		\n
KEYWORD		import
IDENTIFIER	doctest
NEWLINE		\n
IDENTIFIER	doctest
DELIMITER	.
IDENTIFIER	testmod
DELIMITER	(
DELIMITER	)
NEWLINE		\n
DEDENT		
IDENTIFIER	name
DELIMITER	=
IDENTIFIER	raw_input
DELIMITER	(
STRING_LITERAL	'What is your name?\n'
DELIMITER	)
NEWLINE		\n
KEYWORD		print
STRING_LITERAL	'Hi, %s.'
OPERATOR	%
IDENTIFIER	name
NEWLINE		\n
IDENTIFIER	friends
DELIMITER	=
DELIMITER	[
STRING_LITERAL	'john'
DELIMITER	,
STRING_LITERAL	'pat'
DELIMITER	,
STRING_LITERAL	'gary'
DELIMITER	,
STRING_LITERAL	'michael'
DELIMITER	]
NEWLINE		\n
KEYWORD		for
IDENTIFIER	i
DELIMITER	,
IDENTIFIER	name
KEYWORD		in
IDENTIFIER	enumerate
DELIMITER	(
IDENTIFIER	friends
DELIMITER	)
DELIMITER	:
NEWLINE		\n
INDENT		
KEYWORD		print
STRING_LITERAL	"iteration {iteration} is {name}"
DELIMITER	.
IDENTIFIER	format
DELIMITER	(
IDENTIFIER	iteration
DELIMITER	=
IDENTIFIER	i
DELIMITER	,
IDENTIFIER	name
DELIMITER	=
IDENTIFIER	name
DELIMITER	)
NEWLINE		\n
DEDENT		
IDENTIFIER	parents
DELIMITER	,
IDENTIFIER	babies
DELIMITER	=
DELIMITER	(
INTEGER		1
DELIMITER	,
INTEGER		1
DELIMITER	)
NEWLINE		\n
KEYWORD		while
IDENTIFIER	babies
OPERATOR	<
INTEGER		100
DELIMITER	:
NEWLINE		\n
INDENT		
KEYWORD		print
STRING_LITERAL	'This generation has {0} babies'
DELIMITER	.
IDENTIFIER	format
DELIMITER	(
IDENTIFIER	babies
DELIMITER	)
NEWLINE		\n
IDENTIFIER	parents
DELIMITER	,
IDENTIFIER	babies
DELIMITER	=
DELIMITER	(
IDENTIFIER	babies
DELIMITER	,
IDENTIFIER	parents
OPERATOR	+
IDENTIFIER	babies
DELIMITER	)
NEWLINE		\n
DEDENT		
KEYWORD		def
IDENTIFIER	greet
DELIMITER	(
IDENTIFIER	name
DELIMITER	)
DELIMITER	:
NEWLINE		\n
INDENT		
KEYWORD		print
STRING_LITERAL	'Hello'
DELIMITER	,
IDENTIFIER	name
NEWLINE		\n
DEDENT		
IDENTIFIER	greet
DELIMITER	(
STRING_LITERAL	'Jack'
DELIMITER	)
NEWLINE		\n
IDENTIFIER	greet
DELIMITER	(
STRING_LITERAL	'Jill'
DELIMITER	)
NEWLINE		\n
IDENTIFIER	greet
DELIMITER	(
STRING_LITERAL	'Bob'
DELIMITER	)
NEWLINE		\n
IDENTIFIER	prices
DELIMITER	=
DELIMITER	{
STRING_LITERAL	'apple'
DELIMITER	:
FLOATNUMBER	0.40
DELIMITER	,
STRING_LITERAL	'banana'
DELIMITER	:
FLOATNUMBER	0.50
DELIMITER	}
NEWLINE		\n
IDENTIFIER	my_purchase
DELIMITER	=
DELIMITER	{
NEWLINE		\n
INDENT		
STRING_LITERAL	'apple'
DELIMITER	:
INTEGER		1
DELIMITER	,
NEWLINE		\n
STRING_LITERAL	'banana'
DELIMITER	:
INTEGER		6
DELIMITER	}
NEWLINE		\n
DEDENT		
IDENTIFIER	grocery_bill
DELIMITER	=
IDENTIFIER	sum
DELIMITER	(
IDENTIFIER	prices
DELIMITER	[
IDENTIFIER	fruit
DELIMITER	]
OPERATOR	*
IDENTIFIER	my_purchase
DELIMITER	[
IDENTIFIER	fruit
DELIMITER	]
NEWLINE		\n
INDENT		
KEYWORD		for
IDENTIFIER	fruit
KEYWORD		in
IDENTIFIER	my_purchase
DELIMITER	)
NEWLINE		\n
DEDENT		
KEYWORD		print
STRING_LITERAL	'I owe the grocer $%.2f'
OPERATOR	%
IDENTIFIER	grocery_bill
NEWLINE		\n
